business_name,category,city,address,phone,source,created_at
Bobby'S,Pharmacy,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Real Chemist,Pharmacy,Mumbai,"50, 51, New Marine Lines, Mumbai",,OpenStreetMap,2026-05-17 01:55:06
Rajdhani,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Ever Green,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Shriram,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Mcdonald'S,Restaurant,Mumbai,"D Joshi Marg, Mumbai",,OpenStreetMap,2026-05-17 01:55:06
New Martin Hotel,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Central Bank,Bank,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Modern English School,School,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Mahesh Lunch Home,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Mocambo Cafe,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Ideal Corner,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Excellency Restaurant,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Hotel Adarsh Palace,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Cafe Mondegar,Restaurant,Mumbai,"Chhatrapati Shivaji Maharaj Road, Mumbai",22020591,OpenStreetMap,2026-05-17 01:55:06
Akbarallys,Supermarket,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Moshe'S,Restaurant,Mumbai,"Captain Prakash Pethe Marg, Mumbai",,OpenStreetMap,2026-05-17 01:55:06
Kamat Restaurant,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Ankur,Restaurant,Mumbai,Mumbai,+91 22 2265 4194 / 2263 0393,OpenStreetMap,2026-05-17 01:55:06
Indigo Deli,Restaurant,Mumbai,"Chhatrapati Shivaji Maharaj Road, Mumbai",,OpenStreetMap,2026-05-17 01:55:06
Cafe Noorani,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Diamond,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Borivali West,Hospital,Mumbai,"Dhaval Apartment, Factory Lane, near Railway Station, Bhatt Chawl, Mini Zaveri Bazaar, Mhatre Wadi, Borivali West, Mumbai",9324263464,OpenStreetMap,2026-05-17 01:55:06
Villa 39,Restaurant,Mumbai,"60, Madame Cama Road, Mumbai",+91 22 6657 3939,OpenStreetMap,2026-05-17 01:55:06
Little Italy,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Sarvi Restaurant,Restaurant,Mumbai,"184, Dimtimkar Road, Mumbai",7947140132,OpenStreetMap,2026-05-17 01:55:06
Cafe Coffee Day,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
"Icici, Sbi, Citibank,",Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
"Paras Hospital, Gurgaon",Hospital,Delhi,"C-1, Sushant Lok Phase-1",,OpenStreetMap,2026-05-17 01:55:06
Hdfc Bank,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Standard Chartered Bank,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Heritage International School,School,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Deep Public School,School,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Dlf Supermart 1,Supermarket,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Icici Bank,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Darbar,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Standard Chartered,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Mcdonald'S,Restaurant,Delhi,Delhi,+91-11-66-000-666,OpenStreetMap,2026-05-17 01:55:06
Max Hospital,Hospital,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Block B Market,Supermarket,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Gardian Pharmacy,Pharmacy,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Block D Market,Supermarket,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Bikanervala,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Park Baluchi,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Domino'S,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Hsbc,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Lord Krishna Bank,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Kotak Mahindra Bank;India,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Axis Bank,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Nirula'S,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Prakash Hospital Pvt Ltd,Hospital,Delhi,Sector - 33 Sector - 33 Noida,,OpenStreetMap,2026-05-17 01:55:06
Big Bazaar,Supermarket,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
The Ambassador,Hotel,Delhi,"Subramania Bharti Marg, Delhi",+91 11 6626 1000,OpenStreetMap,2026-05-17 01:55:06
"Delhi Public School, Primary Section",School,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Cr Model Public School,School,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Unitech Club,Gym,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Salvan Public School,School,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Dt Mega Mall,Supermarket,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Om Sweets,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Pushpanjali Hospital,Hospital,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Naveidyam,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Baba Ganganath Swimming Centre,Gym,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Guardian Pharmacy,Pharmacy,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Trident Hotel,Hotel,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Vasant Square Mall,Supermarket,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Radisson Blu Plaza Delhi Airport,Hotel,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Flavours Restaurant,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Hotel Surya,Hotel,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Punjab National Bank,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Hotel Amba Residency,Hotel,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Stones2Milestones,School,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Reliance Super,Supermarket,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
State Bank Of India,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Ibis Hotel,Hotel,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Subway,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Barclays,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Union Bank Of India,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Suryadev,Hotel,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Raj Restaurant,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Haldiram,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Indusind Bank,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Abn Amro,Bank,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Religare Wellness,Pharmacy,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
98.4,Pharmacy,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Guardian,Pharmacy,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Aggarwal Sweets,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
Ashok Namkeen & Sweets,Restaurant,Delhi,Delhi,+91-92137-15107,OpenStreetMap,2026-05-17 01:55:06
South Indian Fast Food,Restaurant,Delhi,Delhi,,OpenStreetMap,2026-05-17 01:55:06
State Bank Of India,Bank,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Snack Corner,Restaurant,Bangalore,"Bannerghatta Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Athicas Canteen,Restaurant,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Chai-Unchai,Restaurant,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Icici Bank,Bank,Bangalore,"419, 27th Main Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Karnataka Bank,Bank,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Angel Heart Montessori Play School,School,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Bank Of Baroda,Bank,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Gangothri Residency,Hotel,Bangalore,"Outer Ring Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Ringview Residency,Hotel,Bangalore,"Outer Ring Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Priti Departmental Store,Supermarket,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Meals House,Restaurant,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Swamy Hospital,Hospital,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Food N Drinks,Restaurant,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Evolve Electronic City,Restaurant,Bangalore,"Velankani Drive, Bangalore",080 49653185,OpenStreetMap,2026-05-17 01:55:06
Hdfc Bank,Bank,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Clinic,Hospital,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Canara Bank Holiday Home,Hotel,Bangalore,"2nd Main Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Shanti Hospital,Hospital,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Sukh Sagar,Restaurant,Bangalore,"Mahayogi Vemana Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Amruth Park Land,Restaurant,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Apollo Hospital,Hospital,Bangalore,"74/1, Bellandur, Ring Road, Varthur",+91-80-40222555,OpenStreetMap,2026-05-17 01:55:06
Foodworld,Supermarket,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Canara Bank,Bank,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Narayana Hrudayalaya Dental Clinic,Hospital,Bangalore,"Outer Ring Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Dr Ganesh Medical And Diabetic Clinic,Hospital,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Shanti Sagar,Restaurant,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Family Mall,Supermarket,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Spencers Express,Supermarket,Bangalore,"7th Cross Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
More,Supermarket,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Srinidhi Sagar,Restaurant,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Nandhini,Restaurant,Bangalore,"100 Feet Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Nandhana,Restaurant,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Kfc,Restaurant,Bangalore,"100 Feet Road( S K Karim Khan Road), Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Vijaya Bank,Bank,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Ashwin Pharma,Pharmacy,Bangalore,"HAL Airport Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Medplus,Pharmacy,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Simply Native,Restaurant,Bangalore,"Paramahansa Yogananda Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Subway,Restaurant,Bangalore,"Indiranagar Double Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Apollo Pharmacy,Pharmacy,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Adyar Ananda Bhavan,Restaurant,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Reliance Fresh,Supermarket,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Koshy'S,Restaurant,Bangalore,"39, Saint Mark's Road, Shanthala Nagar, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Shoba,Supermarket,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Smart,Supermarket,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Jbs Hospital,Hospital,Bangalore,"Kanakapura Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Jayanagar Heart Centre,Hospital,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Big Bazaar,Supermarket,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Swamy Vivekananda Primary And High School,School,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Golden Chariot Public School,School,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Manasa Public School,School,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
M M A Kababs,Restaurant,Bangalore,"ITPL Main Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
United Public School,School,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Pizza Hut,Restaurant,Bangalore,"Chinmaya Mission Hospital Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Cafe Coffee Day,Restaurant,Bangalore,"100 Feet Road(S K Karim Khan Road), Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Konārk,Restaurant,Bangalore,Bangalore,+918041248812,OpenStreetMap,2026-05-17 01:55:06
Kamat Nandanvan,Restaurant,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Old Madras Baking Company,Restaurant,Bangalore,"Saint Mark's Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
"Canara Union, Prakash Courts",Gym,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Hard Rock Cafe,Restaurant,Bangalore,"Saint Mark's Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Sri Raghavendra,Restaurant,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Hotel Hindustan,Hotel,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Anand Sagar Punjabi Dhaba,Restaurant,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Hotel Anand Regency,Hotel,Bangalore,"10, 2nd Cross, 6th Main Road, Bangalore",+91-80-41139572,OpenStreetMap,2026-05-17 01:55:06
Mavalli Tiffin Rooms,Restaurant,Bangalore,"14, Lalbagh Road, Bangalore",+918022220022,OpenStreetMap,2026-05-17 01:55:06
Hyderbad Biryani House,Restaurant,Bangalore,"Victoria Road, Bangalore",,OpenStreetMap,2026-05-17 01:55:06
Karur Vysya Bank,Bank,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Shop And Save,Supermarket,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
L.B.S. School,School,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Sri Vijayalakshmi Pragathi Hospital,Hospital,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Yuvalok School,School,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Sinclairs High School,School,Bangalore,Bangalore,,OpenStreetMap,2026-05-17 01:55:06
Ginger Greens,Restaurant,Bangalore,"122/4, Outer Ring Road, Bangalore",+91-80-25434744,OpenStreetMap,2026-05-17 01:55:06
Kalaignar Karunanidhi Nagar,Hospital,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Koyambedu,Clinic,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Kasimedu,Hospital,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
The Great Kabab Factory,Restaurant,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Chola Sheraton,Hotel,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Amrit Hospital,Hospital,Chennai,"New No.310, Mint Street, Sowcarpet",,OpenStreetMap,2026-05-17 01:55:06
Vikram Hospital,Hospital,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
City Tower Hospitals,Hospital,Chennai,"Old No AA-10, New No AA - 85, 2ND-Avenue, Near Roundtana Bus Stop",,OpenStreetMap,2026-05-17 01:55:06
"Apollo Hospitals, Tondiarpet",Hospital,Chennai,"No.645, TH Road, Tondiarpet",,OpenStreetMap,2026-05-17 01:55:06
K.H.M.Hospital,Hospital,Chennai,"AB-14/4907, Balasubramanian Building, Opposite Sri Ayyappa Temple, 6th Main Road",,OpenStreetMap,2026-05-17 01:55:06
Sundaram Medical Foundation,Hospital,Chennai,"9-C, Shanthi Colony Iv Avenue, Anna Nagar",,OpenStreetMap,2026-05-17 01:55:06
Sri Devi Speciality Hospial,Hospital,Chennai,"New No.4, Old No.1620-A, 16Th Main Road, Anna Nagar",,OpenStreetMap,2026-05-17 01:55:06
New Prince Higher Secondary,School,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
St. Marks School,School,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Tangerine,Restaurant,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Ente Keralam,Restaurant,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Samco,Hotel,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Suriyas,Restaurant,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Reliance Fresh,Supermarket,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Eldams Lodge,Hotel,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Ananda,Restaurant,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
State Bank Of India,Bank,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Midnight Express,Restaurant,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Corporation Hospital,Hospital,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Green Park - Chennai,Hotel,Chennai,"Arcot Road, Chennai",+91 44 66515151,OpenStreetMap,2026-05-17 01:55:06
Le Royal Meridian,Hotel,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Residency Towers,Hotel,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Accord Metropolitan,Hotel,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Courtyard Marriott,Hotel,Chennai,"564, Anna Salai (Mount Road), Chennai",66764000,OpenStreetMap,2026-05-17 01:55:06
Karur Vysya Bank,Bank,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Canara Bank,Bank,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Hotel Mount Palace,Hotel,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
"Hindu Mission Health Services, Kanchipuram",Hospital,Chennai,"Near By Ranga Theatre, Chennai, 100 Feet Road, Hinducolony, Nanagnanllur",,OpenStreetMap,2026-05-17 01:55:06
Military Hospital,Hospital,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Goverment Dental Hospital & Collage,Hospital,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Kilpauk Medical College,Hospital,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Trident Hilton,Hotel,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Radisson Blu Hotel,Hotel,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Sr Tennis Club,Gym,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Hariharan Hospital,Hospital,Chennai,"24 and 26, 'Swathi', 29 Th Street",,OpenStreetMap,2026-05-17 01:55:06
Bm Hospital,Hospital,Chennai,"5th Main Road, Chennai",044-22670277,OpenStreetMap,2026-05-17 01:55:06
Hotel Clarion,Hotel,Chennai,"Dr Radhakrishnan Salai, Chennai",,OpenStreetMap,2026-05-17 01:55:06
K.F. Hospital,Hospital,Chennai,"5, Sarwamangala Nagar, Nanganallur",,OpenStreetMap,2026-05-17 01:55:06
Indian Bank,Bank,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Cancer Institute,Hospital,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Axis Bank,Bank,Chennai,"13/1, 4th Main Road, Chennai",1860 500 5555,OpenStreetMap,2026-05-17 01:55:06
Hdfc Bank,Bank,Chennai,"5, Sabari Salai, Chennai",,OpenStreetMap,2026-05-17 01:55:06
Brilliant Matriculation School,School,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Mowbray'S Matriculation Higher Secondary School,School,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Saravana Bhavan,Restaurant,Chennai,"70, North Mada Street, Chennai",04424615588,OpenStreetMap,2026-05-17 01:55:06
Palmgrove,Hotel,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
Barathi Hostel,Hotel,Chennai,Chennai,,OpenStreetMap,2026-05-17 01:55:06
